NDVI,Slope,Elevation,Insolation,TWI
0.1102505699,9.0895738602,222.20809937,21,3.29742312
0.1598497778,14.940918922,220.18588257,20,3.17391086
0.1886524707,8.8181934357,218.36875916,20,3.45302224
0.2022472024,6.1392598152,217.22937012,20,3.79200983
0.1787721068,7.4982228279,216.40045166,20,3.71303535
0.1513616294,2.5689096451,215.6300354,20.5,3.74572444
0.0933888108,4.2014131546,221.54373169,22,3.61304045
0.1200178191,7.1488041878,221.0761261,21,3.64582133
0.1655244082,8.8495950699,219.47871399,20,3.78185821
0.1922062188,6.5354480743,218.19047546,20,3.87859297
0.1975010186,10.101074219,216.81886292,20,3.99730086
0.2074013799,9.3015842438,215.32437134,20,4.35818195
0.1964882612,7.4697618484,214.90194702,19.5,4.17719936
0.1449610889,4.3808879852,215.36253357,20.5,3.77969265
0.0991842076,5.0593419075,220.75016785,22,3.66061401
0.1453967989,5.3001537323,220.45672607,21,3.8679831
0.1762545854,7.7150588036,219.15940857,20,3.89426351
0.1939298064,10.387491226,217.80860901,20,3.95546174
0.1847309917,16.385314941,215.50213623,19.5,3.76318645
0.1765179187,11.729431152,213.75073242,19.5,4.3003068
0.1880781055,11.991932869,213.25646973,20,4.23451138
0.1795406938,10.280792236,213.92596436,20,3.4198277
0.1731085181,16.065658569,212.54344177,20,2.94817996
0.1710842997,19.01653862,210.07525635,19,2.81010365
0.1707118154,24.116867065,206.01502991,16.5,2.60808349
0.1682672054,7.1391906738,219.62205505,22,3.53916049
0.1828138232,7.905189991,219.55276489,20.5,3.79816031
0.2034930885,10.893217087,218.29627991,20,3.60543513
0.2047337443,15.129029274,216.68916321,20,3.6329062
0.2061794698,17.511175156,213.90722656,19.5,3.82098341
0.2158315331,13.706801414,211.96783447,20,4.24284744
0.2353537083,14.636363029,210.82371521,20,4.47154188
0.0973048434,14.640914917,211.77793884,20.5,3.1885097
0.1709488481,18.607936859,210.68727112,20.5,2.83511353
0.1702084541,23.975645065,207.85458374,19.5,3.14957905
0.1987654269,24.341962814,204.31430054,18,2.99072433
0.2037397474,22.014650345,200.90446472,17.5,2.9548831
0.180204615,2.1755330563,218.8687439,19,4.13680315
0.208470434,3.6462273598,218.63737488,19,4.34425354
0.2026605606,7.1750879288,218.25332642,19.5,3.94626307
0.2153596133,10.443741798,216.84643555,19.5,3.8763144
0.2109687924,15.604987144,215.03741455,20,3.80147505
0.2142152041,17.947038651,212.08221436,19.5,3.77486086
0.2144826204,17.794815063,209.82775879,19.5,4.03013182
0.1259566248,21.780124664,207.59805298,21,
0.0657613575,22.758544922,208.64141846,21.5,
0.1269054264,26.144672394,207.21014404,21,2.49546432
0.1950597912,25.735376358,204.34687805,20,2.84465194
0.2163202614,21.207588196,201.42282104,17.5,2.94299316
0.2011556327,19.885723114,198.41273499,18,2.99116349
0.2012250274,10.537696838,196.33937073,18,3.09177685
0.2002372295,4.0329823494,195.44717407,18.5,3.55013704
0.1759046316,1.7252634764,195.32815552,18.5,4.61826372
0.147243008,10.848818779,220.35467529,17.5,3.15350461
0.1668019295,5.8475255966,218.86036682,19,3.38734388
0.1924264282,6.5255284309,218.01287842,19.5,4.43886185
0.1941510886,10.091879845,217.32511902,19.5,4.22971487
0.204645589,13.28530407,215.46954346,20,3.8553617
0.2197309285,16.334644318,213.86430359,20,3.60361385
0.2208466679,20.941057205,210.73548889,17.5,3.46546674
0.1299248189,21.61624527,207.59098816,19.5,3.84520435
0.1134116054,17.742927551,204.42269897,22,
0.1891688407,24.545055389,203.16717529,21,2.44974136
0.236454159,25.898050308,200.76029968,17.5,2.86824393
0.2176832706,21.871963501,198.64448547,17.5,2.95379829
0.2063776404,14.588716507,196.47570801,18,3.06952024
0.2107640207,7.2727417946,195.3210144,18,3.91320157
0.2115306854,3.2166118622,194.85383606,18.5,4.66747189
0.1969886869,2.4825510979,194.95857239,18.5,5.30388737
0.132747069,10.104229927,223.79554749,18,3.06568646
0.1321815848,16.866628647,221.25100708,17.5,2.86569405
0.1549468637,12.515901566,218.50238037,19,3.18434262
0.1549468637,10.563664436,216.79573059,19.5,3.90723395
0.175991863,16.072547913,215.11993408,19.5,4.36020517
0.1939721555,15.543030739,212.60505676,20,4.19930887
0.2051996142,20.94569397,210.93385315,20,3.68440866
0.2094451934,25.360002518,207.68414307,20,3.30135345
0.1448750347,20.366212845,204.62309265,20,3.47162151
0.1676509231,12.807308197,202.18441772,17,
0.2649109066,18.469272614,201.18556213,17.5,4.4718585
0.3028455079,22.575393677,199.1789856,17.5,2.90177894
0.2649431229,16.782333374,196.58552551,17.5,2.93013263
0.2420931757,9.2541904449,195.34359741,18,3.65304375
0.2424186617,5.2883210182,194.69761658,18,4.61664295
0.2362955958,3.1869301796,194.40565491,18.5,5.32975769
0.2271386385,2.5637459755,194.29342651,18.5,5.60925817
0.2224314958,2.8986265659,194.48013306,19,6.35911417
0.1984764934,2.0089805126,194.79562378,19,7.71053839
0.1706888825,4.6090917587,225.47447205,20,3.38746095
0.1467460841,16.726819992,223.59068298,18.5,3.16679358
0.1521997452,19.720277786,220.14733887,18,2.93815327
0.1771405935,13.296326637,217.48039246,19.5,2.96993399
0.1935285628,13.483437538,215.45043945,19.5,3.54158187
0.1796528101,18.78616333,213.04135132,19.5,3.75957012
0.1244391426,16.98724556,210.17222595,20,4.34624767
0.1347838491,27.08007431,207.41848755,18,4.08206797
0.099430576,24.919166565,203.55400085,17,3.52257848
0.1354076713,19.594985962,201.85870361,17,3.30931544
0.2014741898,19.589107513,199.56646729,17,3.56043458
0.2386027277,21.002937317,198.24935913,17,4.73930359
0.2156196833,14.326971054,196.489151,17.5,4.21508121
0.1894548833,6.892616272,195.33500671,17.5,4.18775606
0.22354877,3.0510797501,194.67831421,18,5.25216722
0.2380162031,1.7882906199,194.35046387,18,5.44501591
0.2325727493,1.8283035755,194.05241394,18.5,6.01137638
0.2217157185,2.1447510719,193.85591125,18.5,6.38203764
0.2145485878,3.1848344803,193.98028564,19,7.20154524
0.1985924989,4.4163517952,194.43218994,19,7.04875708
0.1458241344,10.533685684,225.28170776,20.5,3.39730668
0.0845771357,20.081804276,222.65542603,17.5,3.0140729
0.1406324804,19.357040405,219.02648926,18,3.178092
0.1957335323,13.981591225,216.55740356,19.5,3.36605334
0.196247071,18.432006836,214.12586975,19.5,3.45292807
0.1335681975,23.065784454,211.16339111,19.5,3.63498497
0.0516580194,21.443313599,207.67340088,19.5,3.95921707
0.1089900509,29.357265472,204.32550049,16,4.21277189
0.2083398849,21.202342987,200.42008972,17,4.09881639
0.2566798627,20.771282196,198.65611267,17,3.41244793
0.233436048,19.397043228,197.06079102,17,3.36065221
0.1839449555,9.6861200333,195.58810425,17,4.66190672
0.0783115253,4.7038536072,195.15881348,17.5,5.73066711
0.070367232,3.1195197105,194.72105408,18,5.92118311
0.1657220274,1.8567178249,194.44395447,18,6.12228966
0.1725225598,1.6798676252,194.24232483,18.5,6.17680931
0.1864482909,2.216489315,193.91610718,18.5,6.0161624
0.1726457626,0.9950147867,193.62188721,19,6.47989607
0.163627848,1.6061440706,193.64607239,19,7.86696434
0.1956821531,4.1651935577,194.04019165,19.5,7.47694731
0.1932700425,2.3409993649,194.60906982,19.5,7.27051544
0.1696387827,1.3404666185,186.27032471,18.5,7.36689663
0.1194215044,14.696079254,224.05464172,19,
0.1133244038,18.103258133,217.55404663,17.5,3.50264144
0.2484259754,18.041051865,214.76210022,19,3.57071614
0.2397702932,22.559396744,211.30697632,18,3.48801756
0.1367300004,20.36558342,208.08283997,16.5,3.46209764
0.0857576355,22.928916931,204.51205444,16.5,3.73678517
0.2320308685,22.027551651,200.94393921,16.5,3.95898461
0.2812171876,15.914329529,197.90576172,16.5,3.97296309
0.2736103535,13.192536354,195.97032166,16.5,4.25132132
0.2538099587,7.1091547012,194.8276825,17,5.48865986
0.109181799,3.4010043144,194.59616089,17.5,6.17184687
-0.0059617269,1.7695168257,194.6555481,17.5,6.43878269
0.0669988692,1.8418571949,194.5612793,17.5,5.91622782
0.1324286461,2.4047057629,194.38082886,18,5.76699114
0.1847660393,2.0053203106,194.18426514,17.5,5.78751183
