NDVI,Slope,Elevation,Insolation,TWI
0.1517448276,9.9568634033,222.08895874,14.310460091,3.13995814
0.1905964464,15.240093231,220.4249115,12.594490051,3.00283456
0.2160480321,8.8115997314,218.4440155,13,3.23769593
0.211449042,6.1226916313,217.32460022,13.498175621,3.64981461
0.1893816739,7.1867308617,216.30670166,13.5,3.63912678
0.1864837408,3.4598629475,215.67193604,13.5,3.69718003
0.1245365962,4.9180526733,221.50895691,14.5,3.73468137
0.1490135491,7.948182106,220.7403717,14.010416985,3.48515844
0.1964419037,8.5846529007,219.33601379,13,3.68494964
0.2305751294,7.0790095329,218.08795166,13,3.93897152
0.2281993628,10.983831406,216.62812805,13.046768188,4.05979204
0.2092116624,8.8064622879,214.98403931,13.5,4.26889706
0.2026643008,7.0492963791,214.92073059,13.5,4.19273281
0.1891567409,5.8747301102,215.22679138,13.5,3.93955255
0.1230226532,5.2228732109,220.72642517,14.5,3.92898941
0.1428121626,6.1118426323,220.25704956,14.473752975,3.91427422
0.1871614903,7.6676683426,219.2795105,13,3.91416907
0.219549492,9.98711586,217.82659912,13,3.98253989
0.2261681557,16.375677109,215.75222778,12.460122108,3.68559074
0.226702854,10.31671524,213.7336731,13.288357735,4.00502825
0.2240285128,11.872456551,213.23283386,13.5,3.78415394
0.1927969307,11.563498497,213.73126221,13.458454132,3.2947607
0.1520062685,15.496725082,212.75489807,12.758610725,3.2001462
0.140203014,17.244417191,210.36782837,12.407874107,2.79449821
0.1600977182,24.820960999,206.4387207,10.958315849,2.55760169
0.137041688,7.3328638077,219.57647705,14.5,4.17547846
0.1629726738,7.734503746,219.07852173,13.120677948,3.76244688
0.2049735338,11.255620003,218.13687134,13,3.77437615
0.2270768881,14.280693054,216.17718506,12.760416985,3.75810957
0.2369466722,17.257829666,213.6373291,12.25,3.85590506
0.2418596596,11.411874771,211.63787842,13,3.92304897
0.2408909947,15.246657372,210.80674744,13.449915886,4.30207777
0.2094560266,15.919483185,211.76257324,12.896357536,3.1408453
