72722NDVIs,Slope,Insolation,DEM,TWI
0.3401748538,0.7981318831,15.510418892,194.03489685,5.44163704
0.3353308141,4.7755613327,15.5,193.78204346,4.77290726
0.3026330173,15.171060562,15.5,192.35752869,4.40020227
0.265709132,12.384410858,15.5,189.95614624,4.72752571
0.2703559697,6.3150043488,15.5,188.80172729,4.9271884
0.2973805666,3.2432625294,15.5,188.20108032,4.92536497
0.308760345,3.5100753307,15.984812737,187.83953857,5.44926262
0.3140142262,1.9266577959,15.5,187.73683167,6.05474997
0.3177925646,2.4008524418,15.5,187.95515442,6.71490383
0.0771662146,59.297904968,7.4845991135,238.94064331,1.48292768
0.0845786184,63.4337883,6.9269018173,241.07756042,1.55918431
0.0996794626,59.506851196,8.7602787018,234.1285553,1.71901608
0.0958250463,47.976242065,10.23466301,231.14881897,1.39420056
0.0944259763,35.9477005,9.8950529099,228.8812561,1.86376619
0.1372095048,52.248371124,12.557797432,225.37080383,1.83309817
0.2163209021,44.29019165,12.213576317,218.45881653,1.84419537
0.2743785679,35.717037201,12.319139481,214.83584595,2.3170259
0.2955698073,25.96336174,13.119922638,212.81784058,2.31699133
0.3169381917,22.192180634,13.614779472,209.14128113,3.55474448
0.3590797484,15.99771595,12.865047455,208.01478577,3.6634438
0.3717545867,12.724265099,12.880238533,207.33331299,4.04552412
0.3573980033,8.4834003448,13.010199547,207.83061218,3.55429721
0.339317292,9.509522438,12.989865303,208.16638184,3.04496956
0.2974499166,15.821673393,12.734108925,208.77171326,3.71095967
0.246824652,23.297584534,10.875412941,210.06942749,3.26958609
0.1874033511,9.974776268,13.979157448,213.67831421,2.82388997
0.1768146008,11.970901489,15.999783516,213.04997253,3.10389376
0.2309312075,29.237852097,14.134943962,209.84204102,2.97159719
0.2822601199,38.97844696,13.750216484,202.25836182,2.94926715
0.3070403338,22.535837173,14.869387627,197.08477783,3.24214697
0.3145541549,9.7383060455,15,194.95571899,3.68523145
0.3324435353,2.3755607605,15.48481369,194.17399597,5.55581951
0.3565247357,0.6003738046,15.015418053,194.13061523,5.57591248
0.3574121893,3.1468670368,15.499783516,193.97898865,5.2189641
0.3258595169,11.291934967,15.5,192.93511963,5.03674841
0.2804260254,12.430743217,15.5,190.83795166,4.82756758
0.2668967545,9.112695694,15.5,189.33073425,4.66666317
0.2860129774,4.4646310806,15.015418053,188.66992188,4.65606594
0.3069722056,5.0758237839,15.495013237,188.30976868,5.46427822
0.3199107349,3.1028673649,15.5,188.12091064,5.64549589
0.3197844923,2.2050335407,15.5,188.33314514,6.40937471
0.117492713,46.275836945,9.3551921844,258.27316284,1.94959533
0.1399007589,52.810558319,10.115170479,257.30761719,1.81626081
0.1159045547,65.733047485,11.354260445,249.90945435,1.59387243
0.0865877643,54.20602417,10.629812241,239.58985901,1.68363333
0.1069654003,46.547138214,13.213744164,233.8421936,1.75418949
0.1770447344,45.360321045,13.020195007,225.57284546,1.81635904
0.2546178997,24.695997238,13.869973183,219.01383972,2.31062841
0.2966412008,23.023326874,13.999782562,215.8527832,2.8681767
0.3259790242,22.265903473,13.130395889,212.33187866,3.85720253
0.3649233282,17.813400269,12.630171776,211.18823242,3.7329073
0.3701465428,13.983335495,12.755479813,209.65406799,3.85466075
0.3477061093,9.9373960495,12.385668755,209.29743958,3.65756536
0.3085780144,15.039313316,10.619688988,209.96107483,2.77914429
0.2683567405,17.734210968,12.317745209,211.57849121,3.51336098
0.236996606,25.741542816,10.515640259,213.32429504,2.65656185
0.1799553931,14.36083889,14.713764191,215.30537415,3.00078487
0.1580613107,15.488577843,14.750506401,213.41647339,3.39815593
0.2136144191,23.323591232,14.750220299,210.57666016,3.5992229
0.2724147439,34.595729828,13.750196457,205.31570435,3.32735372
0.2958160043,27.633014679,14.484386444,199.26931763,2.84008312
0.3072412908,13.566747665,15,196.10469055,2.86317825
0.3378064334,4.1423249245,15,194.51800537,5.04337835
0.369548738,0.4640487433,15,194.21784973,5.69730282
0.3690857291,1.3292652369,15.015195847,194.17196655,5.55851936
0.3304869533,7.8523101807,15.5,193.58125305,4.34553671
0.2763366699,10.704802513,15.5,191.90037537,4.17617035
0.2569457591,10.941979408,15.489583015,190.36625671,4.34297848
0.2783591151,6.8711481094,15,189.54444885,4.13703871
0.3072067201,5.6974625587,15.250217438,188.99534607,4.41170073
0.3254536986,4.0064740181,15.5,188.78663635,5.46235847
0.3259318471,3.0189855099,15.500216484,188.76168823,6.21763229
0.1385685504,11.439549446,13.999759674,262.71243286,2.6300745
0.1604029834,19.222126007,15.109625816,261.2906189,2.85687923
0.1337964535,44.395214081,12.885436058,255.84802246,2.56762862
0.1146392748,47.793075562,12.249945641,246.05522156,1.91544092
0.1338655353,40.639526367,12.390523911,236.05912781,1.87999451
0.1901057661,41.919124603,12.875105858,228.06408691,2.11565089
0.2581285834,30.02596283,13.744809151,221.44802856,2.95805907
0.2836447358,20.349534988,13.625047684,217.47689819,3.51693988
0.3028292954,11.200416565,13.724678993,214.62823486,4.03215361
0.33572492,9.2964410782,13.494868279,213.32369995,3.94122338
0.3278386295,13.178497314,11.99004364,211.78684998,3.56397176
0.2910598218,27.316598892,8.8732461929,211.88919067,3.70407987
0.2549238503,39.898262024,7.4520125389,214.51994324,2.45111823
0.2394091189,37.237728119,11.462431908,216.56573486,3.18994713
0.2149866968,27.725467682,10.255853653,217.07696533,3.0262413
0.1655982584,19.215787888,13.885215759,218.10992432,3.19473481
0.1581545621,26.251558304,13.155992508,216.78749084,2.74264812
0.1866806001,26.74042511,14.604647636,212.79450989,2.34525633
0.2098113895,26.837396622,14.245007515,208.60548401,2.49479723
0.2400756031,32.810150146,13.754997253,202.02575684,2.46755147
0.2816008031,20.633953094,15,197.6778717,2.55685997
0.334071219,8.9450149536,15,195.03274536,4.38018656
0.3678173423,1.8265178204,15,194.35691833,5.73815584
0.3543404341,1.788257122,14.750070572,194.34634399,5.79159689
0.3017254174,6.7461485863,14.999783516,194.00834656,4.8357482
0.2458048165,9.5823917389,15.119844437,192.77987671,4.14968204
0.2328471243,12.961480141,14.994363785,191.70237732,4.09999275
0.266659826,10.278429031,14.754997253,190.78720093,3.77196956
0.303329587,8.1067781448,15.25,189.78117371,4.06621027
0.3265610337,3.6004116535,15.5,189.37730408,5.33674479
0.3318800628,3.2999658585,15.500217438,189.27494812,5.89817667
0.1477672905,19.39222908,14.849226952,261.95391846,2.79601789
0.1292788535,36.858230591,12.504998207,256.33999634,2.32950616
0.1505243778,45.786743164,12,247.43934631,2.13501239
0.208112672,39.771434784,12.75520134,236.69979858,2.29639864
0.2662179172,31.855989456,13.5,230.41893005,3.1631465
0.2902803421,32.544628143,13.369830132,224.8679657,3.63708448
0.2748545706,30.757989883,12.865062714,220.75285339,3.99217176
0.2757232189,23.748586655,12.375077248,216.85958862,3.80110145
0.2882905603,24.281455994,11.036276817,215.77629089,2.60824466
0.2670269311,24.149553299,8.6199455261,214.69319153,2.7222259
0.2302312106,37.764919281,8.98965168,217.83651733,3.02812576
0.2227049768,25.993913651,10.874962807,219.62605286,3.13407111
0.225024417,17.985855103,14.432922363,221.64596558,3.20963597
0.1953089237,14.244465828,14.489468575,221.23962402,2.90743423
0.1661331058,8.7199459076,15.504891396,220.67575073,3.16224575
0.1681946367,17.012868881,15.723957062,219.48312378,2.92568183
0.1750866771,32.817169189,13.979153633,213.90365601,2.74318004
0.1926357746,30.278398514,13.734657288,208.40853882,2.91402936
0.2356349677,30.317651749,13.510339737,202.46868896,2.92771387
0.2848666906,21.052770615,14.745019913,198.03713989,3.05096769
0.3342988789,8.8842124939,14.500217438,195.28569031,3.98775721
0.358997792,3.1979131699,14.505013466,194.75602722,5.72972298
0.3271242678,4.9176006317,14.010430336,194.87968445,5.86052322
0.2628999054,6.9133191109,14.974189758,194.70059204,4.66668653
0.2159460187,7.2550120354,14.484603882,194.00410461,3.87945724
0.2121093422,9.5418901443,14.989362717,193.25816345,3.79575014
0.2487590015,9.9288740158,14.755129814,192.5181427,3.64259648
0.2854290307,12.072807312,15.374959946,191.11660767,3.71597815
0.3129013777,7.2605848312,15.5,190.21603394,4.64023924
0.3262925148,4.4193825722,15.37526226,189.92289734,5.40684557
0.1511342377,4.7109823227,14.005225182,262.1468811,3.4911809
0.1509524733,26.685077667,13.87503624,259.69766235,2.84469199
0.1525174826,38.479492188,12.395892143,253.51325989,2.56020093
0.2057809085,35.561538696,13.166893005,245.37506104,3.0726018
0.2815880477,38.160320282,13.364315987,237.95555115,3.69577169
0.3124047518,30.207241058,12.885339737,233.17483521,3.16984653
0.2960306406,28.348348618,12.390786171,228.27946472,3.86036777
0.3032802939,31.423723221,11.146327019,225.74822998,3.59167886
0.3330281377,37.098320007,10.905780792,222.70924377,3.08220792
0.3149459362,31.144670486,10.740411758,221.53538513,2.86799431
0.251566112,46.047111511,5.4277801514,220.897995,2.26902318
0.2093877494,28.433097839,13.281150818,225.95581055,1.98182499
0.2254674137,19.022720337,13.349018097,223.54577637,3.31839538
0.2286937982,9.9789638519,14.385160446,223.55345154,3.17817497
0.1981264204,12.599910736,15.984388351,222.66526794,2.82614446
0.1795155406,6.9862375259,16,220.78535461,3.1468389
0.1719206572,13.086886406,15.984589577,219.44181824,3.35453653
0.1778779924,28.342027664,13.989588737,215.37075806,3.10510063
