id,NDVI,Slope,Elevation,Insolation,Lat,Long,TWI,n,distance,feature_x,feature_y,nearest_x,nearest_y
"35730",0.091930657600000,9.956928253199999,222.088912959999988,18.500000000000000,7426794.72000000,388415.93170000,3.13995814,"1",0.000000000931323,388415.931700000015553,7426794.720499999821186,388415.931700000015553,7426794.720500000752509
"35731",0.121059157000000,15.239951134000000,220.424865720000014,18.500000000000000,7426784.72000000,388415.93170000,3.00283456,"1",0.000000000931323,388415.931700000015553,7426784.720499999821186,388415.931700000015553,7426784.720500000752509
"35732",0.145609155300000,8.811478614800000,218.444000240000008,18.500000000000000,7426774.72000000,388425.93170000,3.93897152,"1",0.000000000931323,388425.931700000015553,7426774.720499999821186,388425.931700000015553,7426774.720500000752509
"35733",0.144670277800000,6.122800350200000,217.324584960000010,18.510416030999998,7426764.72000000,388415.93170000,3.64981461,"1",0.000000000931323,388415.931700000015553,7426764.720499999821186,388415.931700000015553,7426764.720500000752509
"35734",0.130462735900000,7.186810016600000,216.306655879999994,19.000000000000000,7426754.72000000,388415.93170000,3.63912678,"1",0.000000000931323,388415.931700000015553,7426754.720499999821186,388415.931700000015553,7426754.720500001683831
"35735",0.127161264400000,3.459765195800000,215.671920779999994,18.951801300000000,7426744.72000000,388415.93170000,3.69718003,"1",0.000000000931323,388415.931700000015553,7426744.720500000752509,388415.931700000015553,7426744.720500000752509
"35949",0.069588363200000,4.918029308300000,221.508926389999999,18.500000000000000,7426804.72000000,388425.93170000,3.73468137,"1",0.000000000931323,388425.931700000015553,7426804.720499999821186,388425.931700000015553,7426804.720500000752509
"35950",0.090990051600000,7.948017597200000,220.740341190000009,18.500000000000000,7426794.72000000,388425.93170000,3.48515844,"1",0.000000000931323,388425.931700000015553,7426794.720499999821186,388425.931700000015553,7426794.720500000752509
"35951",0.123352520200000,8.584546089200000,219.335998539999991,18.500000000000000,7426784.72000000,388425.93170000,3.68494964,"1",0.000000000931323,388425.931700000015553,7426784.720499999821186,388425.931700000015553,7426784.720500000752509
"35952",0.152163758900000,7.079000473000000,218.087951659999987,18.500000000000000,7426774.72000000,388425.93170000,3.93897152,"1",0.000000000931323,388425.931700000015553,7426774.720499999821186,388425.931700000015553,7426774.720500000752509
"35953",0.156328663200000,10.983873366999999,216.628112789999989,18.510416030999998,7426764.72000000,388435.93170000,3.68559074,"1",0.000000000931323,388435.931700000015553,7426764.720499999821186,388435.931700000015553,7426764.720500000752509
"35954",0.145934015500000,8.806180000299999,214.984008789999990,19.000000000000000,7426754.72000000,388425.93170000,4.26889706,"1",0.000000000931323,388425.931700000015553,7426754.720499999821186,388425.931700000015553,7426754.720500001683831
"35955",0.142831102000000,7.049521923100000,214.920700070000009,19.000000000000000,7426744.72000000,388425.93170000,4.19273281,"1",0.000000000931323,388425.931700000015553,7426744.720500000752509,388425.931700000015553,7426744.720500000752509
"35956",0.133316442400000,5.874989032700000,215.226760860000013,19.000000000000000,7426734.72000000,388425.93170000,3.93955255,"1",0.000000000931323,388425.931700000015553,7426734.720499998889863,388425.931700000015553,7426734.720500000752509
"36169",0.054552476900000,5.222989082300000,220.726394650000003,18.500000000000000,7426804.72000000,388435.93170000,3.92898941,"1",0.000000000931323,388435.931700000015553,7426804.720499999821186,388435.931700000015553,7426804.720500000752509
"36170",0.082314014400000,6.112059593200000,220.257019039999989,18.500000000000000,7426794.72000000,388435.93170000,3.91427422,"1",0.000000000931323,388435.931700000015553,7426794.720499999821186,388435.931700000015553,7426794.720500000752509
"36171",0.117244690700000,7.667725086200000,219.279495239999989,18.500000000000000,7426784.72000000,388435.93170000,3.91416907,"1",0.000000000931323,388435.931700000015553,7426784.720499999821186,388435.931700000015553,7426784.720500000752509
"36172",0.143054604500000,9.987302780200000,217.826568600000002,18.500000000000000,7426774.72000000,388435.93170000,3.98253989,"1",0.000000000931323,388435.931700000015553,7426774.720499999821186,388435.931700000015553,7426774.720500000752509
"36173",0.153065875200000,16.375841140999999,215.752182010000013,18.500000000000000,7426764.72000000,388435.93170000,3.68559074,"1",0.000000000931323,388435.931700000015553,7426764.720499999821186,388435.931700000015553,7426764.720500000752509
"36174",0.153180614100000,10.316821098000000,213.733612060000013,18.998193741000001,7426754.72000000,388445.93170000,3.92304897,"1",0.000000000931323,388445.931700000015553,7426754.720499999821186,388445.931700000015553,7426754.720500001683831
"36175",0.154882431000000,11.872587204000000,213.232757569999990,19.000000000000000,7426744.72000000,388435.93170000,3.78415394,"1",0.000000000931323,388435.931700000015553,7426744.720500000752509,388435.931700000015553,7426744.720500000752509
"36176",0.136940285600000,11.563477516000001,213.731201169999991,19.000000000000000,7426734.72000000,388435.93170000,3.29476070,"1",0.000000000931323,388435.931700000015553,7426734.720499998889863,388435.931700000015553,7426734.720500000752509
