NDVI,Slope,Elevation,Insolation,TWI
0.1572433412,9.9568634033,222.08895874,14.5,3.13995814
0.1928546876,15.240093231,220.4249115,14.5,3.00283456
0.2186485231,8.8115997314,218.4440155,14.5,3.23769593
0.2113879621,6.1226916313,217.32460022,14.5,3.64981461
0.1914809346,7.1867308617,216.30670166,14.905682564,3.63912678
0.1924413592,3.4598629475,215.67193604,15,3.69718003
0.1270866245,4.9180526733,221.50895691,14.5,3.73468137
0.1527722329,7.948182106,220.7403717,14.5,3.48515844
0.199519366,8.5846529007,219.33601379,14.5,3.68494964
0.2301166654,7.0790095329,218.08795166,14.5,3.93897152
0.2320877016,10.983831406,216.62812805,14.5,4.05979204
0.2207677662,8.8064622879,214.98403931,14.5,4.26889706
0.2154742628,7.0492963791,214.92073059,14.508601189,4.19273281
0.1956831366,5.8747301102,215.22679138,15,3.93955255
0.1178655699,5.2228732109,220.72642517,14.5,3.92898941
0.1426665932,6.1118426323,220.25704956,14.5,3.91427422
0.1919037998,7.6676683426,219.2795105,14.5,3.91416907
0.2239455134,9.98711586,217.82659912,14.5,3.98253989
0.2317895442,16.375677109,215.75222778,14.5,3.68559074
0.2331320792,10.31671524,213.7336731,14.5,4.00502825
0.2326776832,11.872456551,213.23283386,14.5,3.78415394
0.1990636587,11.563498497,213.73126221,14.501667976,3.2947607
0.1512142867,15.496725082,212.75489807,14.989583015,3.2001462
0.1391772777,17.244417191,210.36782837,14.209836006,2.79449821
0.1555338055,24.820960999,206.4387207,12.548774719,2.55760169
0.1367642433,7.3328638077,219.57647705,14.5,4.17547846
0.1641560197,7.734503746,219.07852173,14.5,3.76244688
0.2083331794,11.255620003,218.13687134,14.5,3.77437615
0.233629331,14.280693054,216.17718506,14.5,3.75810957
0.2408331037,17.257829666,213.6373291,14.25,3.85590506
0.2437925786,11.411874771,211.63787842,14.5,3.92304897
0.2460879087,15.246657372,210.80674744,14.5,4.30207777
0.2156284601,15.919483185,211.76257324,14.5,3.1408453
0.1796681583,20.153766632,210.39247131,14.449793816,2.92043638
0.174432978,27.453147888,207.57617188,12.623281479,3.14339209
0.1863051504,27.984289169,203.61950684,11.563523293,3.13251138
0.2146208137,26.214664459,200.64985657,12.717898369,3.01236963
0.1738109738,2.1091704369,218.89001465,14,4.22479296
0.1753329039,5.0899562836,218.59054565,14.5,4.47531271
0.2062606067,7.2942767143,217.97825623,14.5,3.91420078
0.2427669764,10.880332947,216.98510742,14.5,3.98923826
0.2585689127,13.592622757,215.16638184,14.498210907,3.77432132
0.2693924606,18.298988342,212.38098145,14.082180977,3.76257014
0.28410393,14.534674644,209.86132812,14.498210907,3.88756633
0.285856992,21.630466461,207.75872803,14.5,4.67287302
0.2476648837,25.06741333,208.53414917,14.5,3.0352931
0.2107949108,25.694641113,207.47396851,13.979166985,2.52967644
0.2119297832,26.09654808,204.69650269,12.59154129,2.77288413
0.2264503092,22.201408386,201.22756958,13.750103951,2.89119291
0.2587194741,20.333398819,198.72155762,13.783650398,3.0890553
0.2729244232,11.013733864,196.27659607,15,3.13871789
0.2530756593,4.5399618149,195.49456787,15,3.48612118
0.2245983034,1.9271277189,195.28100586,15,3.68766999
0.1823360771,11.168618202,220.50543213,14,3.03376031
0.1937026084,7.4954314232,218.97399902,14,3.3847611
0.2159083188,7.1173801422,217.91331482,14,4.34642076
0.2367023528,11.491167068,216.57655334,14.407610893,4.34205008
0.2576391697,13.584836006,215.30462646,14.414554596,4.16303873
0.27039361,13.87147522,213.43431091,14.487803459,3.54628539
0.2815776169,21.320678711,210.36865234,13.256629944,3.48724294
0.3004672825,19.886039734,207.23999023,13.780211449,3.775038
0.305498302,15.551352501,204.25483704,14.5,4.87387419
0.270059675,18.959440231,204.40322876,14.5,3.33140588
0.2336486131,26.034381866,202.88146973,13.910421371,2.53602242
0.2418174148,26.676483154,200.45335388,13.462994576,2.74083543
0.2700078487,21.255779266,197.79255676,14.5,2.90138841
0.2956809998,17.65961647,196.36642456,14.5,3.14071131
0.299284935,7.5371103287,195.11354065,14.540628433,3.36669993
0.2739516199,3.6425325871,194.85011292,14.99821949,4.02429247
0.2389404029,2.5546452999,194.86706543,15,4.32176113
0.1943881959,9.1611680984,223.41752625,13.998298645,3.10308623
0.1900936961,16.573719025,220.97680664,14,2.92211795
0.2072638422,14.306302071,218.36447144,14,3.35377955
0.23337695,12.82728672,216.71086121,14,3.95453072
0.2530360222,18.436170578,214.79907227,14,4.39988804
0.2708472312,18.946828842,213.15457153,14,4.48751831
0.2833069265,20.790470123,211.35379028,14,3.56558895
0.2929918468,25.533227921,208.5982666,12.248563766,3.29472113
0.3092868924,20.260402679,205.33251953,13.75871563,3.45479417
0.3187306821,13.399558067,202.65765381,14.047774315,4.05278873
0.3026368618,15.847537041,201.85667419,14.5,4.69695091
0.2817837894,22.947595596,199.45454407,14.498298645,3.34474969
0.2918359041,19.559171677,197.29307556,14.460870743,2.84411597
0.3120774925,10.22852993,195.46243286,14.5,3.20606351
0.3177592158,6.8969173431,194.93864441,14.5,3.79780245
0.3113070428,3.3268926144,194.43685913,14.5,4.20560122
0.2899506688,2.5547623634,194.38476562,14.549546242,4.41825724
0.2552117109,3.1508722305,194.49584961,15,5.46208429
0.2166321427,1.6898659468,194.80458069,15,6.19532394
0.2107071281,5.1869058609,225.34310913,13.252929688,3.51934457
0.1982362121,15.640414238,223.85948181,13.991292953,3.08520031
0.1907041222,19.761322021,220.68179321,13.510416985,2.805022
0.2067630738,13.975878716,217.7124176,14,3.02669716
0.236044839,13.657818794,215.43893433,14,3.40201163
0.2656958103,14.998579025,212.91325378,14,3.70365024
0.297909081,16.227287292,210.78045654,14,4.35582209
0.320069015,20.857408524,208.11824036,13.90213871,4.00245905
